2023-05-26 08:02:52.558 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.graph.GraphApplicationTests], using SpringBootContextLoader
2023-05-26 08:02:55.334 [main] INFO  com.example.graph.GraphApplicationTests - Started GraphApplicationTests in 2.583 seconds (JVM running for 3.333)
2023-05-26 08:02:55.502 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2023-05-26 08:02:55.503 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2023-05-26 08:05:41.689 [main] INFO  com.example.graph.GraphApplication - Starting GraphApplication using Java 1.8.0_372 on CM-H7SFC230502A with PID 2408 (C:\Users\G1656996\Desktop\backup\graph\target\classes started by G1656996 in C:\Users\G1656996\Desktop\backup\graph)
2023-05-26 08:05:41.692 [main] INFO  com.example.graph.GraphApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-26 08:05:42.295 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-26 08:05:42.299 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-26 08:05:42.300 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-26 08:05:42.300 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2023-05-26 08:05:42.365 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-26 08:05:42.365 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 640 ms
2023-05-26 08:05:42.450 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-05-26 08:05:42.503 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-05-26 08:05:42.510 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2023-05-26 08:05:43.149 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-26 08:05:43.160 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-26 08:05:43.165 [main] INFO  com.example.graph.GraphApplication - Started GraphApplication in 1.713 seconds (JVM running for 2.219)
2023-05-26 08:09:27.222 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-26 08:09:27.222 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-26 08:09:27.223 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-26 08:14:46.793 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2023-05-26 08:14:46.797 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2023-05-26 08:14:50.910 [main] INFO  com.example.graph.GraphApplication - Starting GraphApplication using Java 1.8.0_372 on CM-H7SFC230502A with PID 2124 (C:\Users\G1656996\Desktop\backup\graph\target\classes started by G1656996 in C:\Users\G1656996\Desktop\backup\graph)
2023-05-26 08:14:50.913 [main] INFO  com.example.graph.GraphApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-26 08:14:51.513 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-26 08:14:51.517 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-26 08:14:51.517 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-26 08:14:51.517 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2023-05-26 08:14:51.575 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-26 08:14:51.576 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 632 ms
2023-05-26 08:14:51.646 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-05-26 08:14:51.695 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-05-26 08:14:51.701 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2023-05-26 08:14:52.357 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-26 08:14:52.369 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-26 08:14:52.376 [main] INFO  com.example.graph.GraphApplication - Started GraphApplication in 1.701 seconds (JVM running for 2.189)
2023-05-26 08:14:58.639 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-26 08:14:58.640 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-26 08:14:58.640 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-05-26 08:27:46.333 [main] INFO  com.example.graph.GraphApplication - Starting GraphApplication using Java 1.8.0_372 on CM-H7SFC230502A with PID 18420 (C:\Users\G1656996\Desktop\backup\graph\target\classes started by G1656996 in C:\Users\G1656996\Desktop\backup\graph)
2023-05-26 08:27:46.335 [main] INFO  com.example.graph.GraphApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-26 08:27:46.923 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-26 08:27:46.927 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-26 08:27:46.927 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-26 08:27:46.927 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2023-05-26 08:27:46.982 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-26 08:27:46.983 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 616 ms
2023-05-26 08:27:47.057 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-05-26 08:27:47.104 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-05-26 08:27:47.110 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2023-05-26 08:27:47.940 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-26 08:27:47.953 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-26 08:27:47.958 [main] INFO  com.example.graph.GraphApplication - Started GraphApplication in 1.871 seconds (JVM running for 2.529)
2023-05-26 08:27:54.799 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-26 08:27:54.799 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-26 08:27:54.800 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-26 08:47:35.567 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2023-05-26 08:47:35.571 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2023-05-26 08:47:40.218 [main] INFO  com.example.graph.GraphApplication - Starting GraphApplication using Java 1.8.0_372 on CM-H7SFC230502A with PID 10120 (C:\Users\G1656996\Desktop\backup\graph\target\classes started by G1656996 in C:\Users\G1656996\Desktop\backup\graph)
2023-05-26 08:47:40.221 [main] INFO  com.example.graph.GraphApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-26 08:47:40.808 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-26 08:47:40.812 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-26 08:47:40.812 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-26 08:47:40.812 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2023-05-26 08:47:40.867 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-26 08:47:40.867 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 614 ms
2023-05-26 08:47:40.937 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-05-26 08:47:40.982 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-05-26 08:47:40.988 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2023-05-26 08:47:41.795 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-26 08:47:41.806 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-26 08:47:41.811 [main] INFO  com.example.graph.GraphApplication - Started GraphApplication in 1.836 seconds (JVM running for 2.394)
2023-05-26 08:48:00.886 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-26 08:48:00.886 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-26 08:48:00.886 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-05-26 08:58:54.098 [http-nio-8080-exec-5] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://10.151.130.135:3306/procedure_graph?useSSL=false&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 652968
2023-05-26 09:01:47.720 [http-nio-8080-exec-4] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://10.151.130.135:3306/procedure_graph?useSSL=false&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 173578
2023-05-26 09:02:01.286 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2023-05-26 09:02:01.288 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2023-05-26 09:02:03.645 [main] INFO  com.example.graph.GraphApplication - Starting GraphApplication using Java 1.8.0_372 on CM-H7SFC230502A with PID 17144 (C:\Users\G1656996\Desktop\backup\graph\target\classes started by G1656996 in C:\Users\G1656996\Desktop\backup\graph)
2023-05-26 09:02:03.648 [main] INFO  com.example.graph.GraphApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-26 09:02:04.226 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-26 09:02:04.230 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-26 09:02:04.231 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-26 09:02:04.231 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2023-05-26 09:02:04.282 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-26 09:02:04.282 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 602 ms
2023-05-26 09:02:04.347 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-05-26 09:02:04.384 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-05-26 09:02:04.390 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2023-05-26 09:02:05.200 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-26 09:02:05.210 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-26 09:02:05.215 [main] INFO  com.example.graph.GraphApplication - Started GraphApplication in 1.82 seconds (JVM running for 2.408)
2023-05-26 09:02:10.233 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-26 09:02:10.234 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-26 09:02:10.235 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-26 09:10:22.700 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2023-05-26 09:10:22.704 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2023-05-26 09:10:27.137 [main] INFO  com.example.graph.GraphApplication - Starting GraphApplication using Java 1.8.0_372 on CM-H7SFC230502A with PID 1056 (C:\Users\G1656996\Desktop\backup\graph\target\classes started by G1656996 in C:\Users\G1656996\Desktop\backup\graph)
2023-05-26 09:10:27.140 [main] INFO  com.example.graph.GraphApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-26 09:10:27.780 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-26 09:10:27.786 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-26 09:10:27.786 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-26 09:10:27.786 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2023-05-26 09:10:27.847 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-26 09:10:27.847 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 676 ms
2023-05-26 09:10:27.931 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-05-26 09:10:27.977 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-05-26 09:10:27.984 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2023-05-26 09:10:28.828 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-26 09:10:28.839 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-26 09:10:28.844 [main] INFO  com.example.graph.GraphApplication - Started GraphApplication in 1.95 seconds (JVM running for 2.544)
2023-05-26 09:10:33.204 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-26 09:10:33.205 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-26 09:10:33.205 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-05-26 09:14:36.591 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.graph.GraphApplicationTests], using SpringBootContextLoader
2023-05-26 09:14:36.595 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.graph.GraphApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-05-26 09:14:36.595 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.graph.GraphApplicationTests]: GraphApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-26 09:14:36.671 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.graph.GraphApplication for test class com.example.graph.GraphApplicationTests
2023-05-26 09:14:36.740 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-05-26 09:14:36.752 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4b34fff9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1187c9e8, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@127a7a2e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@14008db3, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@78a773fd, org.springframework.test.context.support.DirtiesContextTestExecutionListener@57c03d88, org.springframework.test.context.transaction.TransactionalTestExecutionListener@16aa8654, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6d7fc27, org.springframework.test.context.event.EventPublishingTestExecutionListener@45ac5f9b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@135606db, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@518caac3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@68034211, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4f74980d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6c372fe6, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@58594a11]
2023-05-26 09:14:37.038 [main] INFO  com.example.graph.GraphApplicationTests - Starting GraphApplicationTests using Java 1.8.0_372 on CM-H7SFC230502A with PID 14236 (started by G1656996 in C:\Users\G1656996\Desktop\backup\graph)
2023-05-26 09:14:37.039 [main] INFO  com.example.graph.GraphApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-05-26 09:14:37.746 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-05-26 09:14:37.905 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-05-26 09:14:37.916 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2023-05-26 09:14:39.521 [main] INFO  com.example.graph.GraphApplicationTests - Started GraphApplicationTests in 2.749 seconds (JVM running for 3.49)
2023-05-26 09:14:40.114 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2023-05-26 09:14:40.119 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2023-05-26 09:15:47.321 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.graph.GraphApplicationTests], using SpringBootContextLoader
2023-05-26 09:15:47.325 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.graph.GraphApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-05-26 09:15:47.325 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.graph.GraphApplicationTests]: GraphApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-26 09:15:47.406 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.graph.GraphApplication for test class com.example.graph.GraphApplicationTests
2023-05-26 09:15:47.472 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
